CustomerID,Billing_ID,MonthlyCharges,TotalCharges
C0001,BILL001,29.85,29.85
C0002,BILL002,56.95,1889.5
C0003,BILL003,53.85,108.15
C0004,BILL004,42.3,1840.75
C0005,BILL005,70.7,151.65
C0006,BILL006,99.65,820.5
C0007,BILL007,89.1,1949.4
C0008,BILL008,29.75,301.9
C0009,BILL009,104.8,3046.05
C0010,BILL010,56.15,3487.95
C0011,BILL011,49.95,587.45
C0012,BILL012,18.95,326.8
C0013,BILL013,100.35,5681.1
C0014,BILL014,103.7,5036.3
C0015,BILL015,105.5,2686.05
C0016,BILL016,113.25,7895.15
C0017,BILL017,20.65,1022.95
C0018,BILL018,106.7,7382.25
C0019,BILL019,55.2,528.35
C0020,BILL020,90.05,1862.9
C0021,BILL021,39.65,39.65
C0022,BILL022,19.8,202.25
C0023,BILL023,20.15,20.15
C0024,BILL024,59.9,3505.1
C0025,BILL025,59.6,2970.3
C0026,BILL026,55.3,1530.6
C0027,BILL027,99.35,4749.15
C0028,BILL028,30.2,30.2
C0029,BILL029,90.25,6369.45
C0030,BILL030,64.7,1093.1
C0031,BILL031,96.35,6766.95
C0032,BILL032,95.5,181.65
C0033,BILL033,66.15,1874.45
C0034,BILL034,20.2,20.2
C0035,BILL035,45.25,45.25
C0036,BILL036,99.9,7251.7
C0037,BILL037,69.7,316.9
C0038,BILL038,74.8,3548.3
C0039,BILL039,106.35,3549.25
C0040,BILL040,97.85,1105.4
C0041,BILL041,49.55,475.7
C0042,BILL042,69.2,4872.35
C0043,BILL043,20.75,418.25
C0044,BILL044,79.85,4861.45
C0045,BILL045,76.2,981.45
C0046,BILL046,84.5,3906.7
C0047,BILL047,49.25,97
C0048,BILL048,80.65,144.15
C0049,BILL049,79.75,4217.8
C0050,BILL050,64.15,4254.1
C0051,BILL051,90.25,3838.75
C0052,BILL052,99.1,1426.4
C0053,BILL053,69.5,1752.65
C0054,BILL054,80.65,633.3
C0055,BILL055,74.85,4456.35
C0056,BILL056,95.45,1752.55
C0057,BILL057,99.65,6311.2
C0058,BILL058,108.45,7076.35
C0059,BILL059,24.95,894.3
C0060,BILL060,107.5,7853.7
C0061,BILL061,100.5,4707.1
C0062,BILL062,89.9,5450.7
C0063,BILL063,42.1,2962
C0064,BILL064,54.4,957.1
C0065,BILL065,94.4,857.25
C0066,BILL066,75.3,244.1
C0067,BILL067,78.9,3650.35
C0068,BILL068,79.2,2497.2
C0069,BILL069,20.15,930.9
C0070,BILL070,79.85,887.35
C0071,BILL071,49.05,49.05
C0072,BILL072,20.4,1090.65
C0073,BILL073,111.6,7099
C0074,BILL074,24.25,1424.6
C0075,BILL075,64.5,177.4
C0076,BILL076,110.5,6139.5
C0077,BILL077,55.65,2688.85
C0078,BILL078,54.65,482.25
C0079,BILL079,74.75,2111.3
C0080,BILL080,25.9,1216.6
C0081,BILL081,79.35,79.35
C0082,BILL082,50.55,565.35
C0083,BILL083,75.15,496.9
C0084,BILL084,103.8,4327.5
C0085,BILL085,20.15,973.35
C0086,BILL086,99.3,918.75
C0087,BILL087,62.15,2215.45
C0088,BILL088,20.65,1057
C0089,BILL089,19.95,927.1
C0090,BILL090,33.75,1009.25
C0091,BILL091,82.05,2570.2
C0092,BILL092,74.7,74.7
C0093,BILL093,84,5714.25
C0094,BILL094,111.05,7107
C0095,BILL095,100.9,7459.05
C0096,BILL096,78.95,927.35
C0097,BILL097,66.85,4748.7
C0098,BILL098,21.05,113.85
C0099,BILL099,21,1107.2
C0100,BILL100,98.5,2514.5
C0101,BILL101,20.2,20.2
C0102,BILL102,19.45,19.45
C0103,BILL103,95,3605.6
C0104,BILL104,45.55,3027.25
C0105,BILL105,110,7611.85
C0106,BILL106,24.3,100.2
C0107,BILL107,104.15,7303.05
C0108,BILL108,30.15,927.65
C0109,BILL109,94.35,3921.3
C0110,BILL110,19.4,1363.25
C0111,BILL111,96.75,5238.9
C0112,BILL112,57.95,3042.25
C0113,BILL113,91.65,3954.1
C0114,BILL114,76.5,2868.15
C0115,BILL115,54.6,3423.5
C0116,BILL116,89.85,248.4
C0117,BILL117,31.05,1126.35
C0118,BILL118,100.25,1064.65
C0119,BILL119,20.65,835.15
C0120,BILL120,85.2,2151.6
C0121,BILL121,99.8,5515.45
C0122,BILL122,20.7,112.75
C0123,BILL123,74.4,229.55
C0124,BILL124,50.7,350.35
C0125,BILL125,20.85,62.9
C0126,BILL126,88.95,3027.65
C0127,BILL127,78.05,2135.5
C0128,BILL128,23.55,1723.95
C0129,BILL129,19.75,19.75
C0130,BILL130,56.45,3985.35
C0131,BILL131,85.95,1215.65
C0132,BILL132,58.6,1502.65
C0133,BILL133,50.55,3260.1
C0134,BILL134,35.45,35.45
C0135,BILL135,44.35,81.25
C0136,BILL136,25.7,1188.2
C0137,BILL137,75,1778.5
C0138,BILL138,20.2,1277.75
C0139,BILL139,19.6,1170.55
C0140,BILL140,70.45,70.45
C0141,BILL141,88.05,6425.65
C0142,BILL142,71.15,563.65
C0143,BILL143,101.05,5971.25
C0144,BILL144,84.3,5289.05
C0145,BILL145,23.95,1756.2
C0146,BILL146,99.05,6416.7
C0147,BILL147,19.6,61.35
C0148,BILL148,45.65,45.65
C0149,BILL149,64.5,1929.95
C0150,BILL150,69.5,1071.4
C0151,BILL151,68.55,564.35
C0152,BILL152,95,655.5
C0153,BILL153,108.15,7930.55
C0154,BILL154,86.1,5215.25
C0155,BILL155,19.7,113.5
C0156,BILL156,80.9,1152.8
C0157,BILL157,84.15,1821.95
C0158,BILL158,20.15,419.9
C0159,BILL159,64.25,1024
C0160,BILL160,25.7,251.6
C0161,BILL161,56,764.55
C0162,BILL162,82.4,1592.35
C0163,BILL163,69.7,135.2
C0164,BILL164,73.9,3958.25
C0165,BILL165,20.6,233.9
C0166,BILL166,19.9,1363.45
C0167,BILL167,70.9,273
C0168,BILL168,89.05,6254.45
C0169,BILL169,45.3,2651.2
C0170,BILL170,20.4,321.4
C0171,BILL171,84.25,3539.25
C0172,BILL172,104.4,242.8
C0173,BILL173,81.95,1181.75
C0174,BILL174,94.85,5000.2
C0175,BILL175,20.55,654.55
C0176,BILL176,24.7,780.2
C0177,BILL177,74.45,1145.7
C0178,BILL178,76.45,503.6
C0179,BILL179,105.35,1559.25
C0180,BILL180,20.55,1252
C0181,BILL181,29.95,29.95
C0182,BILL182,45.3,45.3
C0183,BILL183,84.5,662.65
C0184,BILL184,74.75,2453.3
C0185,BILL185,79.25,1111.65
C0186,BILL186,24.8,24.8
C0187,BILL187,51.8,1023.85
C0188,BILL188,30.4,82.15
C0189,BILL189,19.65,244.8
C0190,BILL190,56.6,2379.1
C0191,BILL191,71.9,3173.35
C0192,BILL192,91,531
C0193,BILL193,19.75,1375.4
C0194,BILL194,109.7,8129.3
C0195,BILL195,19.3,1192.7
C0196,BILL196,96.55,1901.65
C0197,BILL197,24.1,587.4
C0198,BILL198,111.35,6519.75
C0199,BILL199,112.25,8041.65
C0200,BILL200,20.75,20.75
C0201,BILL201,101.9,2681.15
C0202,BILL202,80.05,1112.3
C0203,BILL203,105.55,7405.5
C0204,BILL204,78.3,1033.95
C0205,BILL205,68.85,2958.95
C0206,BILL206,79.95,2684.85
C0207,BILL207,55.45,4179.2
C0208,BILL208,79.9,79.9
C0209,BILL209,106.6,1934.45
C0210,BILL210,102.45,6654.1
C0211,BILL211,46,84.5
C0212,BILL212,25.25,25.25
C0213,BILL213,19.75,1124.2
C0214,BILL214,20,540.05
C0215,BILL215,86.8,1975.85
C0216,BILL216,58.75,3437.45
C0217,BILL217,45.25,3139.8
C0218,BILL218,56.6,3789.2
C0219,BILL219,84.2,5324.5
C0220,BILL220,80,624.6
C0221,BILL221,70.15,268.35
C0222,BILL222,24.75,1836.9
C0223,BILL223,20.2,20.2
C0224,BILL224,50.05,179.35
C0225,BILL225,19.35,219.35
C0226,BILL226,50.6,1288.75
C0227,BILL227,81.15,2545.75
C0228,BILL228,55.2,55.2
C0229,BILL229,89.9,2723.15
C0230,BILL230,85.3,4107.25
C0231,BILL231,108,5760.65
C0232,BILL232,93.5,4747.5
C0233,BILL233,84.6,84.6
C0234,BILL234,20.25,1566.9
C0235,BILL235,25.15,702
C0236,BILL236,54.4,114.1
C0237,BILL237,29.6,299.05
C0238,BILL238,73.15,1305.95
C0239,BILL239,95,1120.3
C0240,BILL240,19.75,284.35
C0241,BILL241,86.6,6350.5
C0242,BILL242,109.2,7878.3
C0243,BILL243,74.7,3187.65
C0244,BILL244,94.4,6126.15
C0245,BILL245,54.8,731.3
C0246,BILL246,75.35,273.4
C0247,BILL247,65,2531.8
C0248,BILL248,74.4,1074.3
C0249,BILL249,48.55,48.55
C0250,BILL250,99,4298.45
C0251,BILL251,93.5,4619.55
C0252,BILL252,70.4,147.15
C0253,BILL253,40.2,40.2
C0254,BILL254,83.7,2633.3
C0255,BILL255,19.85,193.05
C0256,BILL256,59.55,4103.9
C0257,BILL257,115.1,7008.15
C0258,BILL258,114.35,5791.1
C0259,BILL259,44.6,80.55
C0260,BILL260,45,1228.65
C0261,BILL261,41.15,132.2
C0262,BILL262,106.9,1364.3
C0263,BILL263,89.85,4925.35
C0264,BILL264,49.85,1520.1
C0265,BILL265,113.3,5032.25
C0266,BILL266,88.1,5526.75
C0267,BILL267,24.9,1195.25
C0268,BILL268,105,2007.25
C0269,BILL269,19.35,1099.6
C0270,BILL270,24.25,1732.95
C0271,BILL271,94.45,1511.2
C0272,BILL272,59.75,3450.15
C0273,BILL273,24.8,24.8
C0274,BILL274,107.05,2172.05
C0275,BILL275,70.6,70.6
C0276,BILL276,85.4,401.1
C0277,BILL277,105.05,5624.85
C0278,BILL278,64.95,1339.8
C0279,BILL279,55,771.95
C0280,BILL280,50.55,244.75
C0281,BILL281,55.15,322.9
C0282,BILL282,51.2,498.25
C0283,BILL283,25.4,25.4
C0284,BILL284,54.45,3687.75
C0285,BILL285,95.15,1779.95
C0286,BILL286,76,1783.6
C0287,BILL287,44.35,927.15
C0288,BILL288,70,70
C0289,BILL289,74.5,606.55
C0290,BILL290,44.85,435.4
C0291,BILL291,76.1,1712.7
C0292,BILL292,61.2,2021.2
C0293,BILL293,86.8,1940.8
C0294,BILL294,89.35,567.8
C0295,BILL295,19.7,220.35
C0296,BILL296,20.25,20.25
C0297,BILL297,76.05,5436.45
C0298,BILL298,100.8,3437.5
C0299,BILL299,74.55,3015.75
C0300,BILL300,73.6,73.6
C0301,BILL301,64.9,1509.8
C0302,BILL302,95.45,396.1
C0303,BILL303,90.4,356.65
C0304,BILL304,60.3,4109
C0305,BILL305,81.85,3141.7
C0306,BILL306,24.8,1229.1
C0307,BILL307,74.9,2303.35
C0308,BILL308,75.55,2054.4
C0309,BILL309,101.15,3741.85
C0310,BILL310,78.75,3682.45
C0311,BILL311,19.25,19.25
C0312,BILL312,89.05,1886.25
C0313,BILL313,115.05,4895.1
C0314,BILL314,69.35,341.6
C0315,BILL315,80.6,415.55
C0316,BILL316,110.05,5686.4
C0317,BILL317,19.9,1355.1
C0318,BILL318,80.3,3058.65
C0319,BILL319,93.15,2231.05
C0320,BILL320,91.5,3236.35
C0321,BILL321,82.45,4350.1
C0322,BILL322,60,4264
C0323,BILL323,44.8,44.8
C0324,BILL324,48.6,422.3
C0325,BILL325,60.05,4176.7
C0326,BILL326,102.7,5138.1
C0327,BILL327,82.9,880.05
C0328,BILL328,70.35,139.05
C0329,BILL329,35.9,973.65
C0330,BILL330,82.65,1470.05
C0331,BILL331,19.85,739.35
C0332,BILL332,19.2,161.95
C0333,BILL333,94.9,4422.95
C0334,BILL334,73.85,511.25
C0335,BILL335,80.6,155.8
C0336,BILL336,75.8,5293.95
C0337,BILL337,104.6,4759.85
C0338,BILL338,88.15,6148.45
C0339,BILL339,94.8,3565.65
C0340,BILL340,103.4,6603
C0341,BILL341,54.65,1830.1
C0342,BILL342,85.75,6223.8
C0343,BILL343,67.45,4508.65
C0344,BILL344,20.5,1328.15
C0345,BILL345,20.25,865
C0346,BILL346,72.1,72.1
C0347,BILL347,90.4,168.2
C0348,BILL348,19.45,1303.5
C0349,BILL349,44.95,996.85
C0350,BILL350,97,6430.9
C0351,BILL351,62.8,2278.75
C0352,BILL352,44.6,681.4
C0353,BILL353,89.15,574.35
C0354,BILL354,84.8,371.9
C0355,BILL355,41.9,840.1
C0356,BILL356,80.25,846
C0357,BILL357,54.1,889
C0358,BILL358,105.25,6823.4
C0359,BILL359,30.75,805.1
C0360,BILL360,97.1,4016.75
C0361,BILL361,20.2,83.75
C0362,BILL362,98.8,3959.15
C0363,BILL363,50.3,2878.55
C0364,BILL364,20.55,945.7
C0365,BILL365,75.9,1373.05
C0366,BILL366,96.5,492.55
C0367,BILL367,59.95,1406
C0368,BILL368,19.15,19.15
C0369,BILL369,98.65,6962.85
C0370,BILL370,112.6,8126.65
C0371,BILL371,20.6,690.25
C0372,BILL372,85.65,181.5
C0373,BILL373,35.75,830.8
C0374,BILL374,99.75,5608.4
C0375,BILL375,96.1,3646.8
C0376,BILL376,85.1,3662.25
C0377,BILL377,25.35,25.35
C0378,BILL378,104.95,2566.5
C0379,BILL379,89.65,5308.7
C0380,BILL380,86.75,1410.25
C0381,BILL381,86.2,3339.05
C0382,BILL382,50.65,50.65
C0383,BILL383,64.8,4732.35
C0384,BILL384,90.85,90.85
C0385,BILL385,108.1,5067.45
C0386,BILL386,19.95,214.75
C0387,BILL387,85.45,4874.7
C0388,BILL388,54.75,2348.45
C0389,BILL389,90.4,4063
C0390,BILL390,44,44
C0391,BILL391,95.6,2595.25
C0392,BILL392,84.8,2309.55
C0393,BILL393,44.3,89.3
C0394,BILL394,19.9,367.55
C0395,BILL395,95.05,3944.5
C0396,BILL396,90.05,5965.95
C0397,BILL397,109.9,3694.7
C0398,BILL398,73.95,2524.45
C0399,BILL399,54.6,1803.7
C0400,BILL400,20.05,415.1
C0401,BILL401,19.75,624.15
C0402,BILL402,20.05,237.7
C0403,BILL403,99.45,7007.6
C0404,BILL404,55.9,3848.8
C0405,BILL405,19.7,419.4
C0406,BILL406,19.8,1468.75
C0407,BILL407,95.4,5812
C0408,BILL408,93.95,2861.45
C0409,BILL409,19.9,19.9
C0410,BILL410,19.6,19.6
C0411,BILL411,81.35,233.7
C0412,BILL412,24.45,1066.15
C0413,BILL413,74.95,2149.05
C0414,BILL414,87.35,4473
C0415,BILL415,70.65,3545.05
C0416,BILL416,73.25,1195.75
C0417,BILL417,98.7,6858.9
C0418,BILL418,24.8,1024.7
C0419,BILL419,83.3,1845.9
C0420,BILL420,75.3,75.3
C0421,BILL421,24.3,132.25
C0422,BILL422,69.85,515.45
C0423,BILL423,100.55,2830.45
C0424,BILL424,25.7,1110.5
C0425,BILL425,40.7,449.3
C0426,BILL426,51.65,2838.55
C0427,BILL427,105.1,5376.4
C0428,BILL428,85.95,858.6
C0429,BILL429,75.6,1395.05
C0430,BILL430,58.25,3975.7
C0431,BILL431,19.4,1182.55
C0432,BILL432,65.2,4784.45
C0433,BILL433,53.45,119.5
C0434,BILL434,45.4,518.9
C0435,BILL435,19.75,899.45
C0436,BILL436,44.45,1183.8
C0437,BILL437,20.85,720.05
C0438,BILL438,114.05,8468.2
C0439,BILL439,89.85,3161.2
C0440,BILL440,55.05,55.05
C0441,BILL441,112.95,1882.55
C0442,BILL442,101.55,5070.4
C0443,BILL443,114.65,6049.5
C0444,BILL444,64.8,1166.7
C0445,BILL445,80.4,2937.65
C0446,BILL446,105.9,6396.45
C0447,BILL447,69.55,69.55
C0448,BILL448,25.05,1270.25
C0449,BILL449,94.75,759.55
C0450,BILL450,105.5,7611.55
C0451,BILL451,24.7,1642.75
C0452,BILL452,69.75,1545.4
C0453,BILL453,60.2,3582.4
C0454,BILL454,81.05,2227.1
C0455,BILL455,24.4,1417.9
C0456,BILL456,104.15,2494.65
C0457,BILL457,92.9,2768.35
C0458,BILL458,80.8,2369.3
C0459,BILL459,20,38
C0460,BILL460,75.1,75.1
C0461,BILL461,19.65,100.9
C0462,BILL462,69.45,1614.05
C0463,BILL463,101.15,385.9
C0464,BILL464,99.8,673.25
C0465,BILL465,116.05,8404.9
C0466,BILL466,40.05,2799.75
C0467,BILL467,102.1,6538.45
C0468,BILL468,89.7,6588.95
C0469,BILL469,19.9,868.1
C0470,BILL470,55.95,734.35
C0471,BILL471,20.65,330.6
C0472,BILL472,55,55
C0473,BILL473,70.05,564.4
C0474,BILL474,53.6,1315.35
C0475,BILL475,74.7,74.7
C0476,BILL476,80.25,1861.5
C0477,BILL477,76.05,2747.2
C0478,BILL478,75.7,554.05
C0479,BILL479,96.1,453.4
C0480,BILL480,69,994.8
C0481,BILL481,19.65,225.75
C0482,BILL482,45.3,2145
C0483,BILL483,81.45,1671.6
C0484,BILL484,108.5,8003.8
C0485,BILL485,83.55,680.05
C0486,BILL486,84.5,6130.85
C0487,BILL487,100.15,1415
C0488,BILL488,88.6,6201.95
C0489,BILL489,52.55,4000.85
C0490,BILL490,74.35,74.35
C0491,BILL491,104.8,6597.25
C0492,BILL492,59,114.15
C0493,BILL493,74.4,139.4
C0494,BILL494,64.05,3902.6
C0495,BILL495,20.4,20.4
C0496,BILL496,43.75,903.6
C0497,BILL497,60.9,1785.65
C0498,BILL498,19.8,1397.65
C0499,BILL499,28.45,131.05
