CustomerID,Churn_ID,Churn
C0001,CHN001,No
C0002,CHN002,No
C0003,CHN003,Yes
C0004,CHN004,No
C0005,CHN005,Yes
C0006,CHN006,Yes
C0007,CHN007,No
C0008,CHN008,No
C0009,CHN009,Yes
C0010,CHN010,No
C0011,CHN011,No
C0012,CHN012,No
C0013,CHN013,No
C0014,CHN014,Yes
C0015,CHN015,No
C0016,CHN016,No
C0017,CHN017,No
C0018,CHN018,No
C0019,CHN019,Yes
C0020,CHN020,No
C0021,CHN021,Yes
C0022,CHN022,No
C0023,CHN023,Yes
C0024,CHN024,No
C0025,CHN025,No
C0026,CHN026,No
C0027,CHN027,Yes
C0028,CHN028,Yes
C0029,CHN029,No
C0030,CHN030,Yes
C0031,CHN031,No
C0032,CHN032,No
C0033,CHN033,No
C0034,CHN034,No
C0035,CHN035,No
C0036,CHN036,No
C0037,CHN037,Yes
C0038,CHN038,No
C0039,CHN039,Yes
C0040,CHN040,Yes
C0041,CHN041,No
C0042,CHN042,No
C0043,CHN043,No
C0044,CHN044,No
C0045,CHN045,No
C0046,CHN046,No
C0047,CHN047,No
C0048,CHN048,Yes
C0049,CHN049,No
C0050,CHN050,No
C0051,CHN051,No
C0052,CHN052,Yes
C0053,CHN053,No
C0054,CHN054,Yes
C0055,CHN055,No
C0056,CHN056,Yes
C0057,CHN057,No
C0058,CHN058,No
C0059,CHN059,No
C0060,CHN060,No
C0061,CHN061,No
C0062,CHN062,No
C0063,CHN063,No
C0064,CHN064,No
C0065,CHN065,Yes
C0066,CHN066,No
C0067,CHN067,No
C0068,CHN068,No
C0069,CHN069,No
C0070,CHN070,No
C0071,CHN071,No
C0072,CHN072,No
C0073,CHN073,No
C0074,CHN074,No
C0075,CHN075,No
C0076,CHN076,No
C0077,CHN077,No
C0078,CHN078,No
C0079,CHN079,No
C0080,CHN080,No
C0081,CHN081,Yes
C0082,CHN082,No
C0083,CHN083,Yes
C0084,CHN084,No
C0085,CHN085,No
C0086,CHN086,No
C0087,CHN087,No
C0088,CHN088,No
C0089,CHN089,No
C0090,CHN090,No
C0091,CHN091,No
C0092,CHN092,No
C0093,CHN093,No
C0094,CHN094,No
C0095,CHN095,No
C0096,CHN096,Yes
C0097,CHN097,No
C0098,CHN098,Yes
C0099,CHN099,No
C0100,CHN100,Yes
C0101,CHN101,No
C0102,CHN102,No
C0103,CHN103,No
C0104,CHN104,No
C0105,CHN105,Yes
C0106,CHN106,No
C0107,CHN107,No
C0108,CHN108,No
C0109,CHN109,No
C0110,CHN110,No
C0111,CHN111,Yes
C0112,CHN112,No
C0113,CHN113,No
C0114,CHN114,Yes
C0115,CHN115,No
C0116,CHN116,No
C0117,CHN117,No
C0118,CHN118,Yes
C0119,CHN119,No
C0120,CHN120,No
C0121,CHN121,No
C0122,CHN122,No
C0123,CHN123,Yes
C0124,CHN124,No
C0125,CHN125,No
C0126,CHN126,No
C0127,CHN127,Yes
C0128,CHN128,No
C0129,CHN129,No
C0130,CHN130,No
C0131,CHN131,No
C0132,CHN132,Yes
C0133,CHN133,No
C0134,CHN134,Yes
C0135,CHN135,Yes
C0136,CHN136,No
C0137,CHN137,No
C0138,CHN138,No
C0139,CHN139,No
C0140,CHN140,Yes
C0141,CHN141,No
C0142,CHN142,Yes
C0143,CHN143,No
C0144,CHN144,No
C0145,CHN145,No
C0146,CHN146,No
C0147,CHN147,No
C0148,CHN148,Yes
C0149,CHN149,No
C0150,CHN150,No
C0151,CHN151,No
C0152,CHN152,Yes
C0153,CHN153,No
C0154,CHN154,No
C0155,CHN155,No
C0156,CHN156,No
C0157,CHN157,No
C0158,CHN158,No
C0159,CHN159,No
C0160,CHN160,No
C0161,CHN161,No
C0162,CHN162,Yes
C0163,CHN163,No
C0164,CHN164,No
C0165,CHN165,No
C0166,CHN166,No
C0167,CHN167,Yes
C0168,CHN168,No
C0169,CHN169,Yes
C0170,CHN170,No
C0171,CHN171,No
C0172,CHN172,Yes
C0173,CHN173,No
C0174,CHN174,Yes
C0175,CHN175,No
C0176,CHN176,No
C0177,CHN177,Yes
C0178,CHN178,Yes
C0179,CHN179,No
C0180,CHN180,No
C0181,CHN181,Yes
C0182,CHN182,No
C0183,CHN183,Yes
C0184,CHN184,No
C0185,CHN185,Yes
C0186,CHN186,Yes
C0187,CHN187,No
C0188,CHN188,No
C0189,CHN189,No
C0190,CHN190,No
C0191,CHN191,No
C0192,CHN192,Yes
C0193,CHN193,No
C0194,CHN194,No
C0195,CHN195,No
C0196,CHN196,No
C0197,CHN197,No
C0198,CHN198,No
C0199,CHN199,No
C0200,CHN200,No
C0201,CHN201,No
C0202,CHN202,No
C0203,CHN203,No
C0204,CHN204,No
C0205,CHN205,No
C0206,CHN206,No
C0207,CHN207,No
C0208,CHN208,Yes
C0209,CHN209,Yes
C0210,CHN210,No
C0211,CHN211,Yes
C0212,CHN212,No
C0213,CHN213,No
C0214,CHN214,No
C0215,CHN215,No
C0216,CHN216,No
C0217,CHN217,No
C0218,CHN218,No
