Contract_ID,tenure,CustomerID,Contract,PaperlessBilling,PaymentMethod
CONT001,1,C0001,Month-to-month,Yes,Electronic check
CONT002,34,C0002,One year,No,Mailed check
CONT003,2,C0003,Month-to-month,Yes,Mailed check
CONT004,45,C0004,One year,No,Bank transfer (automatic)
CONT005,2,C0005,Month-to-month,Yes,Electronic check
CONT006,8,C0006,Month-to-month,Yes,Electronic check
CONT007,22,C0007,Month-to-month,Yes,Credit card (automatic)
CONT008,10,C0008,Month-to-month,No,Mailed check
CONT009,28,C0009,Month-to-month,Yes,Electronic check
CONT010,62,C0010,One year,No,Bank transfer (automatic)
CONT011,13,C0011,Month-to-month,Yes,Mailed check
CONT012,16,C0012,Two year,No,Credit card (automatic)
CONT013,58,C0013,One year,No,Credit card (automatic)
CONT014,49,C0014,Month-to-month,Yes,Bank transfer (automatic)
CONT015,25,C0015,Month-to-month,Yes,Electronic check
CONT016,69,C0016,Two year,No,Credit card (automatic)
CONT017,52,C0017,One year,No,Mailed check
CONT018,71,C0018,Two year,No,Bank transfer (automatic)
CONT019,10,C0019,Month-to-month,No,Credit card (automatic)
CONT020,21,C0020,Month-to-month,Yes,Electronic check
CONT021,1,C0021,Month-to-month,Yes,Electronic check
CONT022,12,C0022,One year,No,Bank transfer (automatic)
CONT023,1,C0023,Month-to-month,No,Mailed check
CONT024,58,C0024,Two year,Yes,Credit card (automatic)
CONT025,49,C0025,Month-to-month,No,Credit card (automatic)
CONT026,30,C0026,Month-to-month,Yes,Bank transfer (automatic)
CONT027,47,C0027,Month-to-month,Yes,Electronic check
CONT028,1,C0028,Month-to-month,No,Electronic check
CONT029,72,C0029,Two year,Yes,Credit card (automatic)
CONT030,17,C0030,Month-to-month,Yes,Mailed check
CONT031,71,C0031,Two year,Yes,Credit card (automatic)
CONT032,2,C0032,Month-to-month,Yes,Credit card (automatic)
CONT033,27,C0033,One year,No,Mailed check
CONT034,1,C0034,Month-to-month,No,Bank transfer (automatic)
CONT035,1,C0035,Month-to-month,No,Bank transfer (automatic)
CONT036,72,C0036,Two year,No,Bank transfer (automatic)
CONT037,5,C0037,Month-to-month,Yes,Electronic check
CONT038,46,C0038,Month-to-month,Yes,Credit card (automatic)
CONT039,34,C0039,Month-to-month,Yes,Electronic check
CONT040,11,C0040,Month-to-month,Yes,Bank transfer (automatic)
CONT041,10,C0041,One year,No,Mailed check
CONT042,70,C0042,Two year,Yes,Credit card (automatic)
CONT043,17,C0043,One year,No,Mailed check
CONT044,63,C0044,Two year,Yes,Credit card (automatic)
CONT045,13,C0045,Month-to-month,Yes,Electronic check
CONT046,49,C0046,Month-to-month,Yes,Electronic check
CONT047,2,C0047,Month-to-month,No,Mailed check
CONT048,2,C0048,Month-to-month,Yes,Electronic check
CONT049,52,C0049,Two year,Yes,Credit card (automatic)
CONT050,69,C0050,Two year,Yes,Credit card (automatic)
CONT051,43,C0051,Month-to-month,Yes,Electronic check
CONT052,15,C0052,Month-to-month,Yes,Credit card (automatic)
CONT053,25,C0053,Month-to-month,Yes,Credit card (automatic)
CONT054,8,C0054,Month-to-month,Yes,Credit card (automatic)
CONT055,60,C0055,One year,Yes,Credit card (automatic)
CONT056,18,C0056,Month-to-month,Yes,Electronic check
CONT057,63,C0057,One year,Yes,Credit card (automatic)
CONT058,66,C0058,One year,Yes,Electronic check
CONT059,34,C0059,Two year,No,Credit card (automatic)
CONT060,72,C0060,Two year,Yes,Credit card (automatic)
CONT061,47,C0061,Month-to-month,Yes,Electronic check
CONT062,60,C0062,Month-to-month,Yes,Bank transfer (automatic)
CONT063,72,C0063,Two year,No,Bank transfer (automatic)
CONT064,18,C0064,One year,Yes,Credit card (automatic)
CONT065,9,C0065,Month-to-month,No,Electronic check
CONT066,3,C0066,Month-to-month,Yes,Electronic check
CONT067,47,C0067,One year,Yes,Electronic check
CONT068,31,C0068,Two year,No,Mailed check
CONT069,50,C0069,Two year,No,Bank transfer (automatic)
CONT070,10,C0070,Month-to-month,Yes,Mailed check
CONT071,1,C0071,Month-to-month,No,Mailed check
CONT072,52,C0072,One year,Yes,Electronic check
CONT073,64,C0073,Two year,Yes,Bank transfer (automatic)
CONT074,62,C0074,Two year,Yes,Bank transfer (automatic)
CONT075,3,C0075,Month-to-month,Yes,Bank transfer (automatic)
CONT076,56,C0076,One year,No,Electronic check
CONT077,46,C0077,One year,No,Credit card (automatic)
CONT078,8,C0078,Month-to-month,No,Mailed check
CONT079,30,C0079,Month-to-month,Yes,Electronic check
CONT080,45,C0080,One year,Yes,Credit card (automatic)
CONT081,1,C0081,Month-to-month,Yes,Electronic check
CONT082,11,C0082,Month-to-month,No,Electronic check
CONT083,7,C0083,Month-to-month,Yes,Bank transfer (automatic)
CONT084,42,C0084,Month-to-month,Yes,Bank transfer (automatic)
CONT085,49,C0085,Two year,Yes,Bank transfer (automatic)
CONT086,9,C0086,Month-to-month,Yes,Credit card (automatic)
CONT087,35,C0087,One year,Yes,Bank transfer (automatic)
CONT088,48,C0088,Two year,No,Bank transfer (automatic)
CONT089,46,C0089,Two year,Yes,Mailed check
CONT090,29,C0090,Month-to-month,No,Mailed check
CONT091,30,C0091,Month-to-month,No,Bank transfer (automatic)
CONT092,1,C0092,Month-to-month,No,Electronic check
CONT093,66,C0093,Two year,Yes,Mailed check
CONT094,65,C0094,Month-to-month,Yes,Credit card (automatic)
CONT095,72,C0095,Two year,Yes,Bank transfer (automatic)
CONT096,12,C0096,Month-to-month,Yes,Electronic check
CONT097,71,C0097,One year,Yes,Credit card (automatic)
CONT098,5,C0098,Month-to-month,No,Mailed check
CONT099,52,C0099,Two year,No,Bank transfer (automatic)
CONT100,25,C0100,Month-to-month,Yes,Electronic check
CONT101,1,C0101,Month-to-month,No,Mailed check
CONT102,1,C0102,Month-to-month,No,Electronic check
CONT103,38,C0103,One year,No,Bank transfer (automatic)
CONT104,66,C0104,One year,No,Bank transfer (automatic)
CONT105,68,C0105,Two year,Yes,Bank transfer (automatic)
CONT106,5,C0106,Month-to-month,No,Mailed check
CONT107,72,C0107,One year,Yes,Electronic check
CONT108,32,C0108,One year,No,Mailed check
CONT109,43,C0109,One year,No,Mailed check
CONT110,72,C0110,Two year,No,Credit card (automatic)
CONT111,55,C0111,Month-to-month,Yes,Electronic check
CONT112,52,C0112,One year,No,Credit card (automatic)
CONT113,43,C0113,Month-to-month,Yes,Electronic check
CONT114,37,C0114,Month-to-month,Yes,Electronic check
CONT115,64,C0115,Two year,Yes,Electronic check
CONT116,3,C0116,Month-to-month,No,Electronic check
CONT117,36,C0117,Two year,No,Bank transfer (automatic)
CONT118,10,C0118,Month-to-month,Yes,Electronic check
CONT119,41,C0119,Two year,No,Mailed check
CONT120,27,C0120,Month-to-month,Yes,Credit card (automatic)
CONT121,56,C0121,One year,Yes,Credit card (automatic)
CONT122,6,C0122,Month-to-month,No,Mailed check
CONT123,3,C0123,Month-to-month,Yes,Electronic check
CONT124,7,C0124,Month-to-month,No,Mailed check
CONT125,4,C0125,Month-to-month,No,Mailed check
CONT126,33,C0126,Two year,Yes,Electronic check
CONT127,27,C0127,Month-to-month,Yes,Electronic check
CONT128,72,C0128,Two year,Yes,Bank transfer (automatic)
CONT129,1,C0129,Month-to-month,No,Mailed check
CONT130,71,C0130,One year,Yes,Electronic check
CONT131,13,C0131,Month-to-month,Yes,Electronic check
CONT132,25,C0132,Month-to-month,Yes,Credit card (automatic)
CONT133,67,C0133,Two year,No,Bank transfer (automatic)
CONT134,1,C0134,Month-to-month,Yes,Electronic check
CONT135,2,C0135,Month-to-month,No,Electronic check
CONT136,43,C0136,Two year,Yes,Credit card (automatic)
CONT137,23,C0137,Month-to-month,Yes,Bank transfer (automatic)
CONT138,64,C0138,Two year,No,Mailed check
CONT139,57,C0139,Two year,Yes,Mailed check
CONT140,1,C0140,Month-to-month,Yes,Mailed check
CONT141,72,C0141,Two year,Yes,Credit card (automatic)
CONT142,8,C0142,Month-to-month,No,Electronic check
CONT143,61,C0143,Two year,Yes,Bank transfer (automatic)
CONT144,64,C0144,One year,Yes,Credit card (automatic)
CONT145,71,C0145,Two year,No,Bank transfer (automatic)
CONT146,65,C0146,Two year,Yes,Credit card (automatic)
CONT147,3,C0147,One year,No,Mailed check
CONT148,1,C0148,Month-to-month,Yes,Electronic check
CONT149,30,C0149,One year,No,Credit card (automatic)
CONT150,15,C0150,Month-to-month,Yes,Mailed check
CONT151,8,C0151,Month-to-month,Yes,Electronic check
CONT152,7,C0152,Month-to-month,No,Mailed check
CONT153,70,C0153,One year,Yes,Credit card (automatic)
CONT154,62,C0154,Two year,No,Electronic check
CONT155,6,C0155,Month-to-month,No,Mailed check
CONT156,14,C0156,Month-to-month,Yes,Bank transfer (automatic)
CONT157,22,C0157,Month-to-month,Yes,Bank transfer (automatic)
CONT158,22,C0158,One year,No,Mailed check
CONT159,16,C0159,Two year,No,Mailed check
