CustomerID,gender,SeniorCitizen,Partner,Dependents,tenure
C0001,Female,0,Yes,No,1
C0002,Male,0,No,No,34
C0003,Male,0,No,No,2
C0004,Male,0,No,No,45
C0005,Female,0,No,No,2
C0006,Female,0,No,No,8
C0007,Male,0,No,Yes,22
C0008,Female,0,No,No,10
C0009,Female,0,Yes,No,28
C0010,Male,0,No,Yes,62
C0011,Male,0,Yes,Yes,13
C0012,Male,0,No,No,16
C0013,Male,0,Yes,No,58
C0014,Male,0,No,No,49
C0015,Male,0,No,No,25
C0016,Female,0,Yes,Yes,69
C0017,Female,0,No,No,52
C0018,Male,0,No,Yes,71
C0019,Female,0,Yes,Yes,10
C0020,Female,0,No,No,21
C0021,Male,1,No,No,1
C0022,Male,0,Yes,No,12
C0023,Male,0,No,No,1
C0024,Female,0,Yes,No,58
C0025,Male,0,Yes,Yes,49
C0026,Female,0,No,No,30
C0027,Male,0,Yes,Yes,47
C0028,Male,0,Yes,Yes,1
C0029,Male,0,Yes,No,72
C0030,Female,0,No,Yes,17
C0031,Female,1,Yes,No,71
C0032,Male,1,Yes,No,2
C0033,Female,0,Yes,Yes,27
C0034,Male,0,No,No,1
C0035,Male,1,No,No,1
C0036,Female,0,Yes,Yes,72
C0037,Male,0,No,No,5
C0038,Female,0,No,No,46
C0039,Male,0,No,No,34
C0040,Female,0,No,No,11
C0041,Male,0,Yes,Yes,10
C0042,Female,0,Yes,Yes,70
C0043,Female,0,Yes,Yes,17
C0044,Female,0,No,No,63
C0045,Female,0,Yes,No,13
C0046,Female,0,No,No,49
C0047,Male,0,No,No,2
C0048,Female,0,No,No,2
C0049,Male,0,No,No,52
C0050,Female,0,Yes,Yes,69
C0051,Female,1,No,No,43
C0052,Female,0,No,No,15
C0053,Female,1,Yes,No,25
C0054,Female,1,Yes,No,8
C0055,Female,1,Yes,Yes,60
C0056,Male,1,No,No,18
C0057,Female,0,Yes,Yes,63
C0058,Male,1,Yes,Yes,66
C0059,Female,0,Yes,Yes,34
C0060,Female,0,No,No,72
C0061,Female,0,Yes,No,47
C0062,Male,0,No,No,60
C0063,Male,0,Yes,No,72
C0064,Female,0,Yes,Yes,18
C0065,Female,0,No,No,9
C0066,Female,0,No,No,3
C0067,Male,0,Yes,No,47
C0068,Female,0,No,No,31
C0069,Female,0,Yes,Yes,50
C0070,Male,0,No,No,10
C0071,Male,0,No,No,1
C0072,Female,0,Yes,Yes,52
C0073,Male,1,Yes,Yes,64
C0074,Male,0,Yes,Yes,62
C0075,Female,0,No,Yes,3
C0076,Female,1,No,No,56
C0077,Female,0,No,No,46
C0078,Female,0,Yes,Yes,8
C0079,Male,1,No,No,30
C0080,Female,0,Yes,Yes,45
C0081,Female,0,No,Yes,1
C0082,Female,0,Yes,Yes,11
C0083,Female,0,Yes,No,7
C0084,Female,0,No,No,42
C0085,Female,0,Yes,No,49
C0086,Male,0,No,No,9
C0087,Female,0,Yes,No,35
C0088,Female,0,Yes,Yes,48
C0089,Female,0,Yes,Yes,46
C0090,Male,0,Yes,No,29
C0091,Male,0,Yes,Yes,30
C0092,Male,1,No,No,1
C0093,Male,0,Yes,Yes,66
C0094,Female,0,No,No,65
C0095,Male,0,No,No,72
C0096,Female,0,No,No,12
C0097,Male,0,Yes,Yes,71
C0098,Male,0,No,No,5
C0099,Male,0,No,No,52
C0100,Female,1,Yes,No,25
C0101,Male,0,No,No,1
C0102,Female,0,Yes,Yes,1
C0103,Male,0,No,No,38
C0104,Female,1,Yes,No,66
C0105,Male,0,Yes,No,68
C0106,Male,0,No,No,5
C0107,Female,0,Yes,Yes,72
C0108,Female,0,No,No,32
C0109,Male,0,No,No,43
C0110,Male,0,Yes,Yes,72
C0111,Male,0,Yes,No,55
C0112,Female,0,No,No,52
C0113,Female,0,No,No,43
C0114,Female,1,Yes,No,37
C0115,Female,0,Yes,Yes,64
C0116,Male,0,Yes,Yes,3
C0117,Female,0,No,No,36
C0118,Female,0,Yes,Yes,10
C0119,Female,0,No,No,41
C0120,Male,0,Yes,Yes,27
C0121,Female,0,Yes,Yes,56
C0122,Female,0,No,No,6
C0123,Male,0,No,No,3
C0124,Female,0,Yes,Yes,7
C0125,Female,0,Yes,Yes,4
C0126,Male,0,No,No,33
C0127,Female,1,No,No,27
C0128,Male,0,Yes,No,72
C0129,Male,0,No,No,1
C0130,Male,1,No,No,71
C0131,Female,0,No,No,13
C0132,Female,0,Yes,Yes,25
C0133,Male,0,No,No,67
C0134,Male,0,No,No,1
C0135,Male,0,No,No,2
C0136,Female,0,No,No,43
C0137,Female,0,No,No,23
C0138,Female,0,Yes,Yes,64
C0139,Male,0,No,Yes,57
C0140,Female,1,Yes,No,1
C0141,Female,1,Yes,Yes,72
C0142,Female,0,No,No,8
C0143,Female,0,Yes,No,61
C0144,Male,0,No,No,64
C0145,Male,1,Yes,No,71
C0146,Female,0,Yes,Yes,65
C0147,Male,0,No,No,3
C0148,Male,0,No,No,1
C0149,Male,0,No,Yes,30
C0150,Male,0,Yes,Yes,15
C0151,Female,0,Yes,Yes,8
C0152,Male,0,No,No,7
C0153,Female,0,Yes,Yes,70
C0154,Male,0,Yes,Yes,62
C0155,Female,0,Yes,Yes,6
C0156,Female,0,Yes,Yes,14
C0157,Female,0,No,No,22
C0158,Male,0,Yes,Yes,22
C0159,Male,0,Yes,Yes,16
C0160,Male,0,No,No,10
C0161,Female,0,No,Yes,13
C0162,Female,0,Yes,No,20
C0163,Female,0,No,No,2
C0164,Male,0,No,No,53
C0165,Female,0,Yes,Yes,11
C0166,Male,0,Yes,No,69
C0167,Female,0,No,No,4
C0168,Male,0,Yes,No,72
C0169,Male,1,Yes,No,58
C0170,Female,0,Yes,Yes,16
C0171,Male,0,Yes,No,43
C0172,Female,0,Yes,No,2
C0173,Male,0,Yes,No,14
C0174,Female,0,Yes,No,53
C0175,Female,0,No,No,32
C0176,Female,0,Yes,No,34
C0177,Female,1,No,No,15
C0178,Female,1,No,No,7
C0179,Female,0,Yes,Yes,15
C0180,Male,0,Yes,No,61
C0181,Female,0,No,No,1
C0182,Female,0,No,No,1
C0183,Male,0,No,No,8
C0184,Male,0,Yes,Yes,33
C0185,Female,0,No,No,13
C0186,Female,0,Yes,No,1
C0187,Male,0,No,No,20
C0188,Male,0,No,No,3
C0189,Female,0,No,No,13
C0190,Female,0,Yes,No,40
C0191,Male,0,Yes,Yes,43
C0192,Male,0,Yes,No,6
C0193,Female,0,Yes,Yes,69
C0194,Female,0,Yes,Yes,72
C0195,Male,0,Yes,Yes,59
C0196,Female,0,Yes,No,20
C0197,Male,0,Yes,Yes,24
C0198,Male,0,No,No,59
C0199,Male,0,Yes,Yes,72
C0200,Male,0,No,Yes,1
C0201,Female,0,Yes,No,27
C0202,Female,0,No,No,14
C0203,Male,0,Yes,Yes,71
C0204,Male,0,No,Yes,13
C0205,Male,0,No,No,44
C0206,Female,0,No,No,33
C0207,Male,0,Yes,Yes,72
