CustomerID,Contract_ID,Billing_ID,Subscription_ID,Churn_ID,MonthlyCharges,TotalCharges,Churn
C0001,CONT001,BILL001,SUB001,CHN001,29.85,29.85,No
C0002,CONT002,BILL002,SUB002,CHN002,56.95,1889.5,No
C0003,CONT003,BILL003,SUB003,CHN003,53.85,108.15,Yes
C0004,CONT004,BILL004,SUB004,CHN004,42.3,1840.75,No
C0005,CONT005,BILL005,SUB005,CHN005,70.7,151.65,Yes
C0006,CONT006,BILL006,SUB006,CHN006,99.65,820.5,Yes
C0007,CONT007,BILL007,SUB007,CHN007,89.1,1949.4,No
C0008,CONT008,BILL008,SUB008,CHN008,29.75,301.9,No
C0009,CONT009,BILL009,SUB009,CHN009,104.8,3046.05,Yes
C0010,CONT010,BILL010,SUB010,CHN010,56.15,3487.95,No
C0011,CONT011,BILL011,SUB011,CHN011,49.95,587.45,No
C0012,CONT012,BILL012,SUB012,CHN012,18.95,326.8,No
C0013,CONT013,BILL013,SUB013,CHN013,100.35,5681.1,No
C0014,CONT014,BILL014,SUB014,CHN014,103.7,5036.3,Yes
C0015,CONT015,BILL015,SUB015,CHN015,105.5,2686.05,No
C0016,CONT016,BILL016,SUB016,CHN016,113.25,7895.15,No
C0017,CONT017,BILL017,SUB017,CHN017,20.65,1022.95,No
C0018,CONT018,BILL018,SUB018,CHN018,106.7,7382.25,No
C0019,CONT019,BILL019,SUB019,CHN019,55.2,528.35,Yes
C0020,CONT020,BILL020,SUB020,CHN020,90.05,1862.9,No
C0021,CONT021,BILL021,SUB021,CHN021,39.65,39.65,Yes
C0022,CONT022,BILL022,SUB022,CHN022,19.8,202.25,No
C0023,CONT023,BILL023,SUB023,CHN023,20.15,20.15,Yes
C0024,CONT024,BILL024,SUB024,CHN024,59.9,3505.1,No
C0025,CONT025,BILL025,SUB025,CHN025,59.6,2970.3,No
C0026,CONT026,BILL026,SUB026,CHN026,55.3,1530.6,No
C0027,CONT027,BILL027,SUB027,CHN027,99.35,4749.15,Yes
C0028,CONT028,BILL028,SUB028,CHN028,30.2,30.2,Yes
C0029,CONT029,BILL029,SUB029,CHN029,90.25,6369.45,No
