customerID,Subscription_ID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
C0001,SUB001,No,No phone service,DSL,No,Yes,No,No,No,No
C0002,SUB002,Yes,No,DSL,Yes,No,Yes,No,No,No
C0003,SUB003,Yes,No,DSL,Yes,Yes,No,No,No,No
C0004,SUB004,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
C0005,SUB005,Yes,No,Fiber optic,No,No,No,No,No,No
C0006,SUB006,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
C0007,SUB007,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
C0008,SUB008,No,No phone service,DSL,Yes,No,No,No,No,No
C0009,SUB009,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
C0010,SUB010,Yes,No,DSL,Yes,Yes,No,No,No,No
C0011,SUB011,Yes,No,DSL,Yes,No,No,No,No,No
C0012,SUB012,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0013,SUB013,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
C0014,SUB014,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
C0015,SUB015,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
C0016,SUB016,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
C0017,SUB017,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0018,SUB018,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
C0019,SUB019,Yes,No,DSL,No,No,Yes,Yes,No,No
C0020,SUB020,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
C0021,SUB021,No,No phone service,DSL,No,No,Yes,No,No,Yes
C0022,SUB022,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0023,SUB023,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0024,SUB024,Yes,Yes,DSL,No,Yes,No,Yes,No,No
C0025,SUB025,Yes,No,DSL,Yes,Yes,No,Yes,No,No
C0026,SUB026,Yes,No,DSL,Yes,Yes,No,No,No,No
C0027,SUB027,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
C0028,SUB028,No,No phone service,DSL,No,Yes,No,No,No,No
C0029,SUB029,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
C0030,SUB030,Yes,No,DSL,No,No,No,No,Yes,Yes
C0031,SUB031,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
C0032,SUB032,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
C0033,SUB033,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No
C0034,SUB034,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0035,SUB035,Yes,No,DSL,No,No,No,No,No,No
C0036,SUB036,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
C0037,SUB037,Yes,No,Fiber optic,No,No,No,No,No,No
C0038,SUB038,Yes,No,Fiber optic,No,No,Yes,No,No,No
C0039,SUB039,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
C0040,SUB040,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
C0041,SUB041,Yes,No,DSL,No,Yes,No,No,No,No
C0042,SUB042,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No
C0043,SUB043,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0044,SUB044,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
C0045,SUB045,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No
C0046,SUB046,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
C0047,SUB047,Yes,No,DSL,No,Yes,No,No,No,No
C0048,SUB048,Yes,No,Fiber optic,No,No,No,No,Yes,No
C0049,SUB049,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes
C0050,SUB050,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No
C0051,SUB051,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
C0052,SUB052,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes
C0053,SUB053,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No
C0054,SUB054,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
C0055,SUB055,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes
C0056,SUB056,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
C0057,SUB057,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
C0058,SUB058,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
C0059,SUB059,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0060,SUB060,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
C0061,SUB061,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
C0062,SUB062,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
C0063,SUB063,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
C0064,SUB064,Yes,No,DSL,No,No,Yes,Yes,No,No
C0065,SUB065,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
C0066,SUB066,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes
C0067,SUB067,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
C0068,SUB068,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
C0069,SUB069,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0070,SUB070,Yes,No,Fiber optic,Yes,No,Yes,No,No,No
C0071,SUB071,Yes,No,DSL,No,No,No,Yes,No,No
C0072,SUB072,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0073,SUB073,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
C0074,SUB074,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0075,SUB075,Yes,No,DSL,Yes,No,No,Yes,No,Yes
C0076,SUB076,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
C0077,SUB077,Yes,No,DSL,No,No,No,No,No,Yes
C0078,SUB078,Yes,No,DSL,Yes,Yes,No,No,No,No
C0079,SUB079,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes
C0080,SUB080,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0081,SUB081,Yes,No,Fiber optic,No,No,No,No,Yes,No
C0082,SUB082,No,No phone service,DSL,Yes,No,No,No,Yes,Yes
C0083,SUB083,Yes,No,Fiber optic,No,No,Yes,No,No,No
C0084,SUB084,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
C0085,SUB085,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0086,SUB086,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
C0087,SUB087,Yes,No,DSL,Yes,No,No,No,Yes,No
C0088,SUB088,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0089,SUB089,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0090,SUB090,No,No phone service,DSL,No,No,No,No,Yes,No
C0091,SUB091,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
C0092,SUB092,Yes,No,Fiber optic,No,No,No,Yes,No,No
C0093,SUB093,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
C0094,SUB094,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
C0095,SUB095,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
C0096,SUB096,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
C0097,SUB097,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No
C0098,SUB098,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0099,SUB099,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0100,SUB100,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
C0101,SUB101,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0102,SUB102,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0103,SUB103,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No
C0104,SUB104,No,No phone service,DSL,No,Yes,Yes,No,Yes,No
C0105,SUB105,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
C0106,SUB106,No,No phone service,DSL,No,No,No,No,No,No
C0107,SUB107,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
C0108,SUB108,No,No phone service,DSL,Yes,No,No,No,No,No
C0109,SUB109,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
C0110,SUB110,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0111,SUB111,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
C0112,SUB112,Yes,No,DSL,Yes,No,Yes,Yes,No,No
C0113,SUB113,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No
C0114,SUB114,Yes,Yes,Fiber optic,No,No,No,No,No,No
C0115,SUB115,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes
C0116,SUB116,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No
C0117,SUB117,No,No phone service,DSL,Yes,No,No,No,No,No
C0118,SUB118,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
C0119,SUB119,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0120,SUB120,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
C0121,SUB121,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
C0122,SUB122,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0123,SUB123,Yes,Yes,Fiber optic,No,No,No,No,No,No
C0124,SUB124,Yes,No,DSL,Yes,No,No,No,No,No
C0125,SUB125,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0126,SUB126,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No
C0127,SUB127,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
C0128,SUB128,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0129,SUB129,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0130,SUB130,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes
C0131,SUB131,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
C0132,SUB132,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
C0133,SUB133,Yes,No,DSL,No,No,No,Yes,No,No
C0134,SUB134,No,No phone service,DSL,No,No,No,No,No,Yes
C0135,SUB135,Yes,No,DSL,No,No,No,No,No,No
C0136,SUB136,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0137,SUB137,Yes,No,Fiber optic,Yes,No,No,No,No,No
C0138,SUB138,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0139,SUB139,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0140,SUB140,Yes,No,Fiber optic,No,No,No,No,No,No
C0141,SUB141,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
C0142,SUB142,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes
C0143,SUB143,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
C0144,SUB144,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No
C0145,SUB145,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0146,SUB146,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
C0147,SUB147,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0148,SUB148,Yes,No,DSL,No,No,No,No,No,No
C0149,SUB149,Yes,No,DSL,No,Yes,Yes,No,Yes,No
C0150,SUB150,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes
C0151,SUB151,Yes,No,DSL,No,No,No,Yes,Yes,Yes
C0152,SUB152,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
C0153,SUB153,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
C0154,SUB154,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
C0155,SUB155,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0156,SUB156,Yes,No,Fiber optic,No,No,No,No,No,Yes
C0157,SUB157,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
C0158,SUB158,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0159,SUB159,Yes,No,DSL,Yes,No,Yes,No,Yes,No
C0160,SUB160,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0161,SUB161,Yes,No,DSL,Yes,Yes,No,No,No,No
C0162,SUB162,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
C0163,SUB163,Yes,No,Fiber optic,No,No,No,No,No,No
C0164,SUB164,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes
C0165,SUB165,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0166,SUB166,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0167,SUB167,Yes,No,Fiber optic,No,No,No,No,No,No
C0168,SUB168,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
C0169,SUB169,No,No phone service,DSL,No,Yes,Yes,No,No,Yes
C0170,SUB170,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0171,SUB171,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No
C0172,SUB172,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
C0173,SUB173,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
C0174,SUB174,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
C0175,SUB175,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0176,SUB176,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0177,SUB177,Yes,Yes,Fiber optic,No,No,No,No,No,No
C0178,SUB178,Yes,No,Fiber optic,Yes,No,No,No,No,No
C0179,SUB179,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
C0180,SUB180,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0181,SUB181,No,No phone service,DSL,No,Yes,No,No,No,No
C0182,SUB182,Yes,No,DSL,No,No,No,No,No,No
C0183,SUB183,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
C0184,SUB184,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes
C0185,SUB185,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
C0186,SUB186,No,No phone service,DSL,No,No,No,No,No,No
C0187,SUB187,Yes,No,DSL,No,Yes,No,No,No,No
C0188,SUB188,No,No phone service,DSL,No,No,No,Yes,No,No
C0189,SUB189,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0190,SUB190,Yes,Yes,DSL,No,Yes,No,No,No,No
C0191,SUB191,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes
C0192,SUB192,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
C0193,SUB193,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0194,SUB194,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
C0195,SUB195,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0196,SUB196,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
C0197,SUB197,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0198,SUB198,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
C0199,SUB199,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
C0200,SUB200,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0201,SUB201,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes
C0202,SUB202,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
C0203,SUB203,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
C0204,SUB204,Yes,No,Fiber optic,No,No,No,No,Yes,No
C0205,SUB205,Yes,No,Fiber optic,No,No,No,No,No,No
C0206,SUB206,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
C0207,SUB207,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes
C0208,SUB208,Yes,No,Fiber optic,No,No,No,No,No,Yes
C0209,SUB209,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
C0210,SUB210,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
C0211,SUB211,Yes,No,DSL,No,No,No,No,No,No
C0212,SUB212,No,No phone service,DSL,No,No,No,No,No,No
C0213,SUB213,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0214,SUB214,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0215,SUB215,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
C0216,SUB216,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
C0217,SUB217,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
C0218,SUB218,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
C0219,SUB219,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
C0220,SUB220,Yes,No,Fiber optic,No,No,No,No,Yes,No
C0221,SUB221,Yes,No,Fiber optic,No,No,No,No,No,No
C0222,SUB222,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0223,SUB223,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0224,SUB224,Yes,No,DSL,No,No,No,Yes,No,No
C0225,SUB225,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0226,SUB226,No,No phone service,DSL,Yes,No,No,No,Yes,Yes
C0227,SUB227,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes
C0228,SUB228,Yes,No,DSL,No,No,No,No,Yes,No
C0229,SUB229,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes
C0230,SUB230,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
C0231,SUB231,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
C0232,SUB232,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes
C0233,SUB233,Yes,No,Fiber optic,Yes,No,No,No,No,Yes
C0234,SUB234,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
